participantId,formIndex,formName,autocomplete,time_from_form_ms,time_from_form,x,y,timestamp
unknown,3,form4_medium_with,enabled,602,0.602s,1155,418,2026-04-13T19:53:16.495Z
unknown,3,form4_medium_with,enabled,1021,1.021s,1206,441,2026-04-13T19:53:16.914Z
unknown,3,form4_medium_with,enabled,1474,1.474s,1242,545,2026-04-13T19:53:17.367Z
unknown,3,form4_medium_with,enabled,1861,1.861s,1178,573,2026-04-13T19:53:17.754Z
unknown,3,form4_medium_with,enabled,2250,2.250s,760,616,2026-04-13T19:53:18.143Z
unknown,3,form4_medium_with,enabled,2647,2.647s,809,601,2026-04-13T19:53:18.540Z
unknown,3,form4_medium_with,enabled,3041,3.041s,854,378,2026-04-13T19:53:18.934Z
unknown,3,form4_medium_with,enabled,3440,3.440s,901,503,2026-04-13T19:53:19.333Z
unknown,3,form4_medium_with,enabled,3838,3.838s,861,541,2026-04-13T19:53:19.731Z
