participantId,formIndex,formName,autocomplete,time_from_form_ms,time_from_form,x,y,timestamp
unknown,1,form2_small_with,enabled,594,0.594s,1167,886,2026-04-13T19:52:44.395Z
unknown,1,form2_small_with,enabled,990,0.990s,902,988,2026-04-13T19:52:44.791Z
unknown,1,form2_small_with,enabled,1396,1.396s,1018,942,2026-04-13T19:52:45.197Z
unknown,1,form2_small_with,enabled,1837,1.837s,827,891,2026-04-13T19:52:45.638Z
unknown,1,form2_small_with,enabled,2223,2.223s,832,982,2026-04-13T19:52:46.024Z
unknown,1,form2_small_with,enabled,2608,2.608s,922,740,2026-04-13T19:52:46.409Z
unknown,1,form2_small_with,enabled,2992,2.992s,1131,809,2026-04-13T19:52:46.793Z
unknown,1,form2_small_with,enabled,3386,3.386s,843,730,2026-04-13T19:52:47.187Z
