participantId,formIndex,formName,autocomplete,time_from_form_ms,time_from_form,x,y,timestamp
unknown,2,form3_medium_without,disabled,598,0.598s,1187,776,2026-04-13T19:52:48.517Z
unknown,2,form3_medium_without,disabled,988,0.988s,1457,620,2026-04-13T19:52:48.907Z
unknown,2,form3_medium_without,disabled,1392,1.392s,1241,545,2026-04-13T19:52:49.311Z
unknown,2,form3_medium_without,disabled,1763,1.763s,1171,591,2026-04-13T19:52:49.682Z
unknown,2,form3_medium_without,disabled,2246,2.246s,1243,508,2026-04-13T19:52:50.165Z
unknown,2,form3_medium_without,disabled,2634,2.634s,1155,511,2026-04-13T19:52:50.553Z
unknown,2,form3_medium_without,disabled,3002,3.002s,1160,552,2026-04-13T19:52:50.921Z
unknown,2,form3_medium_without,disabled,3377,3.377s,1020,787,2026-04-13T19:52:51.296Z
unknown,2,form3_medium_without,disabled,3758,3.758s,992,550,2026-04-13T19:52:51.677Z
unknown,2,form3_medium_without,disabled,4120,4.120s,1267,393,2026-04-13T19:52:52.039Z
unknown,2,form3_medium_without,disabled,4506,4.506s,867,511,2026-04-13T19:52:52.425Z
unknown,2,form3_medium_without,disabled,4893,4.893s,729,535,2026-04-13T19:52:52.812Z
unknown,2,form3_medium_without,disabled,5280,5.280s,603,411,2026-04-13T19:52:53.199Z
unknown,2,form3_medium_without,disabled,5643,5.643s,685,328,2026-04-13T19:52:53.562Z
unknown,2,form3_medium_without,disabled,5836,5.836s,141,391,2026-04-13T19:52:53.755Z
unknown,2,form3_medium_without,disabled,6217,6.217s,255,384,2026-04-13T19:52:54.136Z
unknown,2,form3_medium_without,disabled,6601,6.601s,443,356,2026-04-13T19:52:54.520Z
unknown,2,form3_medium_without,disabled,6984,6.984s,740,368,2026-04-13T19:52:54.903Z
unknown,2,form3_medium_without,disabled,7370,7.370s,1160,522,2026-04-13T19:52:55.289Z
unknown,2,form3_medium_without,disabled,7753,7.753s,1053,514,2026-04-13T19:52:55.672Z
unknown,2,form3_medium_without,disabled,8140,8.140s,1300,617,2026-04-13T19:52:56.059Z
unknown,2,form3_medium_without,disabled,8541,8.541s,1435,523,2026-04-13T19:52:56.460Z
unknown,2,form3_medium_without,disabled,8946,8.946s,1490,631,2026-04-13T19:52:56.865Z
unknown,2,form3_medium_without,disabled,9337,9.337s,1481,670,2026-04-13T19:52:57.256Z
unknown,2,form3_medium_without,disabled,9730,9.730s,1318,621,2026-04-13T19:52:57.649Z
unknown,2,form3_medium_without,disabled,10122,10.122s,1622,508,2026-04-13T19:52:58.041Z
unknown,2,form3_medium_without,disabled,10515,10.515s,1440,371,2026-04-13T19:52:58.434Z
unknown,2,form3_medium_without,disabled,10914,10.914s,1470,379,2026-04-13T19:52:58.833Z
