participantId,formIndex,formName,autocomplete,time_from_form_ms,time_from_form,x,y,timestamp
unknown,2,form3_medium_without,disabled,11308,11.308s,1443,330,2026-04-13T19:52:59.227Z
unknown,2,form3_medium_without,disabled,11704,11.704s,1327,378,2026-04-13T19:52:59.623Z
unknown,2,form3_medium_without,disabled,12105,12.105s,1220,608,2026-04-13T19:53:00.024Z
unknown,2,form3_medium_without,disabled,12499,12.499s,1059,610,2026-04-13T19:53:00.418Z
unknown,2,form3_medium_without,disabled,12888,12.888s,1241,615,2026-04-13T19:53:00.807Z
unknown,2,form3_medium_without,disabled,13300,13.300s,1314,739,2026-04-13T19:53:01.219Z
unknown,2,form3_medium_without,disabled,13676,13.676s,1297,865,2026-04-13T19:53:01.595Z
unknown,2,form3_medium_without,disabled,14098,14.098s,1237,935,2026-04-13T19:53:02.017Z
unknown,2,form3_medium_without,disabled,14477,14.477s,1350,1004,2026-04-13T19:53:02.396Z
unknown,2,form3_medium_without,disabled,14903,14.903s,1136,957,2026-04-13T19:53:02.822Z
unknown,2,form3_medium_without,disabled,15276,15.276s,1050,637,2026-04-13T19:53:03.195Z
unknown,2,form3_medium_without,disabled,15692,15.692s,960,422,2026-04-13T19:53:03.611Z
unknown,2,form3_medium_without,disabled,16068,16.068s,983,442,2026-04-13T19:53:03.987Z
unknown,2,form3_medium_without,disabled,16469,16.469s,1263,420,2026-04-13T19:53:04.388Z
unknown,2,form3_medium_without,disabled,16856,16.856s,1186,577,2026-04-13T19:53:04.775Z
unknown,2,form3_medium_without,disabled,17241,17.241s,869,503,2026-04-13T19:53:05.160Z
unknown,2,form3_medium_without,disabled,17630,17.630s,1041,752,2026-04-13T19:53:05.549Z
unknown,2,form3_medium_without,disabled,18016,18.016s,1055,650,2026-04-13T19:53:05.935Z
unknown,2,form3_medium_without,disabled,18409,18.409s,1183,670,2026-04-13T19:53:06.328Z
unknown,2,form3_medium_without,disabled,18803,18.803s,1128,704,2026-04-13T19:53:06.722Z
unknown,2,form3_medium_without,disabled,19191,19.191s,1190,555,2026-04-13T19:53:07.110Z
unknown,2,form3_medium_without,disabled,19594,19.594s,1231,542,2026-04-13T19:53:07.513Z
unknown,2,form3_medium_without,disabled,19953,19.953s,1398,427,2026-04-13T19:53:07.872Z
unknown,2,form3_medium_without,disabled,20345,20.345s,1151,627,2026-04-13T19:53:08.264Z
unknown,2,form3_medium_without,disabled,20714,20.714s,614,695,2026-04-13T19:53:08.633Z
unknown,2,form3_medium_without,disabled,21108,21.108s,758,869,2026-04-13T19:53:09.027Z
unknown,2,form3_medium_without,disabled,21734,21.734s,960,1045,2026-04-13T19:53:09.653Z
unknown,2,form3_medium_without,disabled,23100,23.100s,1493,1374,2026-04-13T19:53:11.019Z
unknown,2,form3_medium_without,disabled,23281,23.281s,1290,1245,2026-04-13T19:53:11.200Z
unknown,2,form3_medium_without,disabled,23860,23.860s,1087,1460,2026-04-13T19:53:11.779Z
unknown,2,form3_medium_without,disabled,23860,23.860s,946,1464,2026-04-13T19:53:11.779Z
unknown,2,form3_medium_without,disabled,24247,24.247s,1272,1525,2026-04-13T19:53:12.166Z
unknown,2,form3_medium_without,disabled,24765,24.765s,1421,1429,2026-04-13T19:53:12.684Z
unknown,2,form3_medium_without,disabled,25142,25.142s,1380,831,2026-04-13T19:53:13.061Z
unknown,2,form3_medium_without,disabled,25518,25.518s,816,787,2026-04-13T19:53:13.437Z
unknown,2,form3_medium_without,disabled,25893,25.893s,565,754,2026-04-13T19:53:13.812Z
unknown,2,form3_medium_without,disabled,26268,26.268s,464,634,2026-04-13T19:53:14.187Z
unknown,2,form3_medium_without,disabled,26643,26.643s,469,503,2026-04-13T19:53:14.562Z
unknown,2,form3_medium_without,disabled,27220,27.220s,659,436,2026-04-13T19:53:15.139Z
