participantId,formIndex,formName,autocomplete,time_from_form_ms,time_from_form,x,y,timestamp
unknown,4,form5_large_without,disabled,603,0.603s,1259,573,2026-04-13T19:53:21.028Z
unknown,4,form5_large_without,disabled,988,0.988s,1073,428,2026-04-13T19:53:21.413Z
unknown,4,form5_large_without,disabled,1369,1.369s,1168,556,2026-04-13T19:53:21.794Z
unknown,4,form5_large_without,disabled,1733,1.733s,809,1078,2026-04-13T19:53:22.158Z
unknown,4,form5_large_without,disabled,2118,2.118s,726,1308,2026-04-13T19:53:22.543Z
unknown,4,form5_large_without,disabled,2499,2.499s,771,1081,2026-04-13T19:53:22.924Z
unknown,4,form5_large_without,disabled,2900,2.900s,814,785,2026-04-13T19:53:23.325Z
unknown,4,form5_large_without,disabled,3271,3.271s,952,753,2026-04-13T19:53:23.696Z
unknown,4,form5_large_without,disabled,3662,3.662s,979,697,2026-04-13T19:53:24.087Z
unknown,4,form5_large_without,disabled,4062,4.062s,626,591,2026-04-13T19:53:24.487Z
unknown,4,form5_large_without,disabled,4451,4.451s,787,405,2026-04-13T19:53:24.876Z
unknown,4,form5_large_without,disabled,4853,4.853s,919,260,2026-04-13T19:53:25.278Z
unknown,4,form5_large_without,disabled,5241,5.241s,621,466,2026-04-13T19:53:25.666Z
unknown,4,form5_large_without,disabled,5613,5.613s,444,670,2026-04-13T19:53:26.038Z
unknown,4,form5_large_without,disabled,5988,5.988s,746,522,2026-04-13T19:53:26.413Z
unknown,4,form5_large_without,disabled,6375,6.375s,691,621,2026-04-13T19:53:26.800Z
unknown,4,form5_large_without,disabled,6742,6.742s,1333,733,2026-04-13T19:53:27.167Z
unknown,4,form5_large_without,disabled,7010,7.010s,1215,668,2026-04-13T19:53:27.435Z
unknown,4,form5_large_without,disabled,7413,7.413s,1401,745,2026-04-13T19:53:27.838Z
unknown,4,form5_large_without,disabled,7810,7.810s,913,665,2026-04-13T19:53:28.235Z
unknown,4,form5_large_without,disabled,8191,8.191s,925,660,2026-04-13T19:53:28.616Z
unknown,4,form5_large_without,disabled,8580,8.580s,747,605,2026-04-13T19:53:29.005Z
unknown,4,form5_large_without,disabled,8953,8.953s,1003,373,2026-04-13T19:53:29.378Z
unknown,4,form5_large_without,disabled,9145,9.145s,918,220,2026-04-13T19:53:29.570Z
unknown,4,form5_large_without,disabled,9531,9.531s,966,108,2026-04-13T19:53:29.956Z
unknown,4,form5_large_without,disabled,9936,9.936s,1208,406,2026-04-13T19:53:30.361Z
unknown,4,form5_large_without,disabled,10325,10.325s,1209,548,2026-04-13T19:53:30.750Z
unknown,4,form5_large_without,disabled,10717,10.717s,1315,536,2026-04-13T19:53:31.142Z
unknown,4,form5_large_without,disabled,11119,11.119s,1366,465,2026-04-13T19:53:31.544Z
unknown,4,form5_large_without,disabled,11522,11.522s,1416,521,2026-04-13T19:53:31.947Z
unknown,4,form5_large_without,disabled,11921,11.921s,1395,721,2026-04-13T19:53:32.346Z
unknown,4,form5_large_without,disabled,12310,12.310s,1337,627,2026-04-13T19:53:32.735Z
unknown,4,form5_large_without,disabled,12694,12.694s,1465,550,2026-04-13T19:53:33.119Z
unknown,4,form5_large_without,disabled,13080,13.080s,1249,593,2026-04-13T19:53:33.505Z
unknown,4,form5_large_without,disabled,13491,13.491s,1420,621,2026-04-13T19:53:33.916Z
unknown,4,form5_large_without,disabled,13850,13.850s,1571,613,2026-04-13T19:53:34.275Z
unknown,4,form5_large_without,disabled,14245,14.245s,1452,647,2026-04-13T19:53:34.670Z
unknown,4,form5_large_without,disabled,14629,14.629s,1102,622,2026-04-13T19:53:35.054Z
unknown,4,form5_large_without,disabled,15030,15.030s,1124,582,2026-04-13T19:53:35.455Z
unknown,4,form5_large_without,disabled,15422,15.422s,1202,561,2026-04-13T19:53:35.847Z
unknown,4,form5_large_without,disabled,15832,15.832s,1185,599,2026-04-13T19:53:36.257Z
unknown,4,form5_large_without,disabled,16237,16.237s,1083,716,2026-04-13T19:53:36.662Z
unknown,4,form5_large_without,disabled,16648,16.648s,1010,653,2026-04-13T19:53:37.073Z
unknown,4,form5_large_without,disabled,17058,17.058s,1065,473,2026-04-13T19:53:37.483Z
unknown,4,form5_large_without,disabled,17462,17.462s,1104,456,2026-04-13T19:53:37.887Z
unknown,4,form5_large_without,disabled,17870,17.870s,1233,479,2026-04-13T19:53:38.295Z
unknown,4,form5_large_without,disabled,18268,18.268s,1266,597,2026-04-13T19:53:38.693Z
unknown,4,form5_large_without,disabled,18680,18.680s,1382,672,2026-04-13T19:53:39.105Z
unknown,4,form5_large_without,disabled,19072,19.072s,1141,729,2026-04-13T19:53:39.497Z
unknown,4,form5_large_without,disabled,19457,19.457s,1108,749,2026-04-13T19:53:39.882Z
unknown,4,form5_large_without,disabled,19848,19.848s,1156,646,2026-04-13T19:53:40.273Z
unknown,4,form5_large_without,disabled,20235,20.235s,1251,467,2026-04-13T19:53:40.660Z
unknown,4,form5_large_without,disabled,20621,20.621s,1399,661,2026-04-13T19:53:41.046Z
unknown,4,form5_large_without,disabled,21003,21.003s,1320,505,2026-04-13T19:53:41.428Z
unknown,4,form5_large_without,disabled,21389,21.389s,1230,458,2026-04-13T19:53:41.814Z
unknown,4,form5_large_without,disabled,21781,21.781s,1176,449,2026-04-13T19:53:42.206Z
unknown,4,form5_large_without,disabled,22147,22.147s,923,492,2026-04-13T19:53:42.572Z
unknown,4,form5_large_without,disabled,22552,22.552s,876,297,2026-04-13T19:53:42.977Z
unknown,4,form5_large_without,disabled,22940,22.940s,1126,336,2026-04-13T19:53:43.365Z
unknown,4,form5_large_without,disabled,23329,23.329s,1257,480,2026-04-13T19:53:43.754Z
unknown,4,form5_large_without,disabled,23728,23.728s,1072,511,2026-04-13T19:53:44.153Z
unknown,4,form5_large_without,disabled,24136,24.136s,600,816,2026-04-13T19:53:44.561Z
unknown,4,form5_large_without,disabled,24535,24.535s,792,745,2026-04-13T19:53:44.960Z
unknown,4,form5_large_without,disabled,24937,24.937s,1030,704,2026-04-13T19:53:45.362Z
unknown,4,form5_large_without,disabled,25349,25.349s,1129,596,2026-04-13T19:53:45.774Z
unknown,4,form5_large_without,disabled,25758,25.758s,1213,496,2026-04-13T19:53:46.183Z
