participantId,formIndex,formName,autocomplete,time_from_form_ms,time_from_form,x,y,timestamp
unknown,4,form5_large_without,disabled,26167,26.167s,1111,473,2026-04-13T19:53:46.592Z
unknown,4,form5_large_without,disabled,26560,26.560s,1115,496,2026-04-13T19:53:46.985Z
unknown,4,form5_large_without,disabled,26950,26.950s,1326,548,2026-04-13T19:53:47.375Z
unknown,4,form5_large_without,disabled,27343,27.343s,1489,636,2026-04-13T19:53:47.768Z
unknown,4,form5_large_without,disabled,27730,27.730s,1209,697,2026-04-13T19:53:48.155Z
unknown,4,form5_large_without,disabled,28136,28.136s,1215,670,2026-04-13T19:53:48.561Z
unknown,4,form5_large_without,disabled,28519,28.519s,1255,533,2026-04-13T19:53:48.944Z
unknown,4,form5_large_without,disabled,28904,28.904s,1393,690,2026-04-13T19:53:49.329Z
unknown,4,form5_large_without,disabled,29297,29.297s,1237,619,2026-04-13T19:53:49.722Z
unknown,4,form5_large_without,disabled,29708,29.708s,1207,763,2026-04-13T19:53:50.133Z
unknown,4,form5_large_without,disabled,30117,30.117s,1124,730,2026-04-13T19:53:50.542Z
unknown,4,form5_large_without,disabled,30511,30.511s,1106,629,2026-04-13T19:53:50.936Z
unknown,4,form5_large_without,disabled,30919,30.919s,1041,620,2026-04-13T19:53:51.344Z
unknown,4,form5_large_without,disabled,31331,31.331s,763,671,2026-04-13T19:53:51.756Z
unknown,4,form5_large_without,disabled,31722,31.722s,1326,654,2026-04-13T19:53:52.147Z
unknown,4,form5_large_without,disabled,32117,32.117s,1569,859,2026-04-13T19:53:52.542Z
unknown,4,form5_large_without,disabled,32504,32.504s,1408,572,2026-04-13T19:53:52.929Z
unknown,4,form5_large_without,disabled,32888,32.888s,1286,309,2026-04-13T19:53:53.313Z
unknown,4,form5_large_without,disabled,33282,33.282s,1123,297,2026-04-13T19:53:53.707Z
unknown,4,form5_large_without,disabled,33661,33.661s,1136,355,2026-04-13T19:53:54.086Z
unknown,4,form5_large_without,disabled,34055,34.055s,1110,302,2026-04-13T19:53:54.480Z
unknown,4,form5_large_without,disabled,34437,34.437s,858,222,2026-04-13T19:53:54.862Z
unknown,4,form5_large_without,disabled,34827,34.827s,848,436,2026-04-13T19:53:55.252Z
unknown,4,form5_large_without,disabled,35208,35.208s,793,503,2026-04-13T19:53:55.633Z
unknown,4,form5_large_without,disabled,35586,35.586s,741,343,2026-04-13T19:53:56.011Z
unknown,4,form5_large_without,disabled,35963,35.963s,898,176,2026-04-13T19:53:56.388Z
unknown,4,form5_large_without,disabled,36344,36.344s,850,202,2026-04-13T19:53:56.769Z
unknown,4,form5_large_without,disabled,36753,36.753s,993,247,2026-04-13T19:53:57.178Z
unknown,4,form5_large_without,disabled,37139,37.139s,1008,403,2026-04-13T19:53:57.564Z
unknown,4,form5_large_without,disabled,37535,37.535s,1171,596,2026-04-13T19:53:57.960Z
unknown,4,form5_large_without,disabled,37928,37.928s,1146,465,2026-04-13T19:53:58.353Z
unknown,4,form5_large_without,disabled,38337,38.337s,1024,473,2026-04-13T19:53:58.762Z
unknown,4,form5_large_without,disabled,38721,38.721s,1162,610,2026-04-13T19:53:59.146Z
unknown,4,form5_large_without,disabled,39112,39.112s,1118,621,2026-04-13T19:53:59.537Z
unknown,4,form5_large_without,disabled,39482,39.482s,930,510,2026-04-13T19:53:59.907Z
unknown,4,form5_large_without,disabled,39881,39.881s,981,563,2026-04-13T19:54:00.306Z
unknown,4,form5_large_without,disabled,40241,40.241s,1020,549,2026-04-13T19:54:00.666Z
unknown,4,form5_large_without,disabled,40648,40.648s,1067,546,2026-04-13T19:54:01.073Z
unknown,4,form5_large_without,disabled,41032,41.032s,1090,475,2026-04-13T19:54:01.457Z
unknown,4,form5_large_without,disabled,41411,41.411s,1142,428,2026-04-13T19:54:01.836Z
unknown,4,form5_large_without,disabled,41782,41.782s,1020,441,2026-04-13T19:54:02.207Z
unknown,4,form5_large_without,disabled,42185,42.185s,821,513,2026-04-13T19:54:02.610Z
