participantId,formIndex,formName,autocomplete,time_from_form_ms,time_from_form,x,y,timestamp
unknown,0,form1_small_without,disabled,621,0.621s,763,779,2026-04-13T19:52:35.756Z
unknown,0,form1_small_without,disabled,1025,1.025s,906,711,2026-04-13T19:52:36.160Z
unknown,0,form1_small_without,disabled,1434,1.434s,1230,517,2026-04-13T19:52:36.569Z
unknown,0,form1_small_without,disabled,1837,1.837s,1217,688,2026-04-13T19:52:36.972Z
unknown,0,form1_small_without,disabled,2228,2.228s,965,433,2026-04-13T19:52:37.363Z
unknown,0,form1_small_without,disabled,2620,2.620s,835,870,2026-04-13T19:52:37.755Z
unknown,0,form1_small_without,disabled,3007,3.007s,858,819,2026-04-13T19:52:38.142Z
unknown,0,form1_small_without,disabled,3395,3.395s,611,536,2026-04-13T19:52:38.530Z
unknown,0,form1_small_without,disabled,3793,3.793s,619,540,2026-04-13T19:52:38.928Z
unknown,0,form1_small_without,disabled,4180,4.180s,630,531,2026-04-13T19:52:39.315Z
unknown,0,form1_small_without,disabled,4385,4.385s,730,645,2026-04-13T19:52:39.520Z
unknown,0,form1_small_without,disabled,4778,4.778s,841,802,2026-04-13T19:52:39.913Z
unknown,0,form1_small_without,disabled,5165,5.165s,867,677,2026-04-13T19:52:40.300Z
unknown,0,form1_small_without,disabled,5579,5.579s,641,824,2026-04-13T19:52:40.714Z
unknown,0,form1_small_without,disabled,5966,5.966s,720,868,2026-04-13T19:52:41.101Z
unknown,0,form1_small_without,disabled,6354,6.354s,768,755,2026-04-13T19:52:41.489Z
unknown,0,form1_small_without,disabled,6751,6.751s,830,693,2026-04-13T19:52:41.886Z
unknown,0,form1_small_without,disabled,7146,7.146s,1012,563,2026-04-13T19:52:42.281Z
unknown,0,form1_small_without,disabled,7531,7.531s,1053,694,2026-04-13T19:52:42.666Z
unknown,0,form1_small_without,disabled,7915,7.915s,1311,557,2026-04-13T19:52:43.050Z
